project_id,cost_impact_rfi_count,rfi_with_approved_co,rfi_unrecovered_count,recovery_rate_%,project_name,gc_name,project_type
PRJ-2018-001,6,1,5,16.67,Minneapolis Hospital - Mechanical Systems Renovation,JE Dunn,Healthcare
PRJ-2018-002,33,0,33,0.0,Louisville Office Park - Core & Shell MEP,JE Dunn,Commercial/Office
PRJ-2018-003,19,1,18,5.26,Las Vegas Elementary Campus - Climate Systems,Turner Construction,Education
PRJ-2018-004,16,1,15,6.25,Houston Data Center - Precision Cooling Systems,JE Dunn,Data Center
PRJ-2018-005,9,0,9,0.0,Phoenix Senior Living - HVAC Upgrade,Skanska USA,Residential
PRJ-2018-006,13,3,10,23.08,Kansas City Hospital - Mechanical Systems Renovation,JE Dunn,Healthcare
PRJ-2018-007,8,0,8,0.0,Portland Corporate Campus - HVAC Systems,Turner Construction,Education
PRJ-2018-008,19,0,19,0.0,Louisville High School - New Construction,Skanska USA,Education
PRJ-2018-009,8,0,8,0.0,Houston Edge Data Center - Thermal Management,Mortenson,Data Center
PRJ-2018-010,8,1,7,12.5,San Antonio Mixed-Income Housing - Climate Control,JE Dunn,Other
PRJ-2018-011,9,0,9,0.0,Albuquerque Hospital - Mechanical Systems Renovation,Mortenson,Healthcare
PRJ-2018-012,19,0,19,0.0,Pittsburgh Business Center - MEP Systems,DPR Construction,Other
PRJ-2018-013,11,0,11,0.0,Indianapolis Unified School District - HVAC Modernization,DPR Construction,Education
PRJ-2018-014,11,2,9,18.18,Indianapolis Cloud Campus Phase 1 - Cooling,JE Dunn,Education
PRJ-2018-015,18,4,14,22.22,Minneapolis Mixed-Income Housing - Climate Control,Skanska USA,Other
PRJ-2018-016,31,2,29,6.45,Houston Surgery Center - Climate Control,JE Dunn,Other
PRJ-2018-017,15,1,14,6.67,San Antonio Business Center - MEP Systems,DPR Construction,Other
PRJ-2018-018,12,1,11,8.33,Las Vegas Unified School District - HVAC Modernization,Turner Construction,Education
PRJ-2018-019,13,0,13,0.0,Oklahoma City Edge Data Center - Thermal Management,Mortenson,Data Center
PRJ-2018-020,13,1,12,7.69,Chicago Mixed-Income Housing - Climate Control,Mortenson,Other
PRJ-2018-021,13,1,12,7.69,San Antonio Surgery Center - Climate Control,JE Dunn,Other
PRJ-2018-022,24,1,23,4.17,Tampa Office Park - Core & Shell MEP,Turner Construction,Commercial/Office
PRJ-2018-023,11,2,9,18.18,Richmond High School - New Construction,DPR Construction,Education
PRJ-2018-024,9,0,9,0.0,Raleigh Edge Data Center - Thermal Management,JE Dunn,Data Center
PRJ-2018-025,19,0,19,0.0,Portland Senior Living - HVAC Upgrade,Skanska USA,Residential
PRJ-2018-026,13,0,13,0.0,Las Vegas Surgery Center - Climate Control,Turner Construction,Other
PRJ-2018-027,16,0,16,0.0,Albuquerque Mixed-Use Tower - Mechanical,Turner Construction,Commercial/Office
PRJ-2018-028,11,0,11,0.0,Louisville Elementary Campus - Climate Systems,Skanska USA,Education
PRJ-2018-029,14,1,13,7.14,Kansas City Colocation Facility - HVAC,JE Dunn,Other
PRJ-2018-030,21,3,18,14.29,Portland Mixed-Income Housing - Climate Control,Skanska USA,Other
PRJ-2018-031,16,1,15,6.25,Kansas City Surgery Center - Climate Control,Skanska USA,Other
PRJ-2018-032,18,0,18,0.0,Sacramento Office Park - Core & Shell MEP,DPR Construction,Commercial/Office
PRJ-2018-033,11,0,11,0.0,Pittsburgh Middle School - HVAC Systems,Skanska USA,Education
PRJ-2018-034,21,1,20,4.76,Boston Colocation Facility - HVAC,DPR Construction,Other
PRJ-2018-035,15,0,15,0.0,Indianapolis Apartment Complex - MEP,Turner Construction,Residential
PRJ-2018-036,5,0,5,0.0,Pittsburgh Medical Campus - New HVAC Installation,Mortenson,Healthcare
PRJ-2018-037,18,1,17,5.56,Albuquerque Business Center - MEP Systems,JE Dunn,Other
PRJ-2018-038,12,2,10,16.67,Columbus Unified School District - HVAC Modernization,JE Dunn,Education
PRJ-2018-039,10,0,10,0.0,Albuquerque Data Center - Precision Cooling Systems,Skanska USA,Data Center
PRJ-2018-040,19,1,18,5.26,Sacramento Mixed-Income Housing - Climate Control,DPR Construction,Other
PRJ-2018-041,6,0,6,0.0,San Antonio Regional Medical Center - HVAC Upgrade,Skanska USA,Healthcare
PRJ-2018-042,12,0,12,0.0,Columbus Office Park - Core & Shell MEP,JE Dunn,Commercial/Office
PRJ-2018-043,25,3,22,12.0,Salt Lake City High School - New Construction,Skanska USA,Education
PRJ-2018-044,10,3,7,30.0,Oklahoma City Cloud Campus Phase 1 - Cooling,Mortenson,Education
PRJ-2018-045,6,1,5,16.67,Cincinnati Apartment Complex - MEP,Skanska USA,Residential
